Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
Mealy 2,980,5,5,Ar/Ar,Cooling,"coarse-grained olivine gabbro dyke, weakly deformed",Biotite,Ar Furnace-Step,Estimate,Grenville Province,NL,53.725,-58.85833,"Southeast shoreline of Lake Melville, Labrador. Location approximated from sketch map in report relative to on-line digital mapping of NGS.",Mealy Mountains terrane - Mealy dykes,Plutonic,"coarse-grained olivine gabbro dyke, weakly deformed","Reynolds, P.H., 1989. 40Ar/39Ar dating of the Mealy dykes of Labrador: paleomagnetic implications.; Canadian Journal of Earth Sciences, v. 26, p. 1567-157"
Mealy 8,1014,15,15,Ar/Ar,Cooling,"medium- to coarse-grained olivine gabbro dyke, weakly deformed",Biotite,Ar Furnace-Step,Estimate,Grenville Province,NL,53.70417,-58.57917,"Southeast shoreline of Lake Melville, Labrador. Location approximated from sketch map in report relative to on-line digital mapping of NGS.",Mealy Mountains terrane - Mealy dykes,Plutonic,"medium- to coarse-grained olivine gabbro dyke, weakly deformed","Reynolds, P.H., 1989. 40Ar/39Ar dating of the Mealy dykes of Labrador: paleomagnetic implications.; Canadian Journal of Earth Sciences, v. 26, p. 1567-157"
Mealy 8R,1022,7,7,Ar/Ar,Cooling,"medium- to coarse-grained olivine gabbro dyke, weakly deformed",Biotite,Ar Furnace-Step,Estimate,Grenville Province,NL,53.70417,-58.57917,"Southeast shoreline of Lake Melville, Labrador. Location approximated from sketch map in report relative to on-line digital mapping of NGS.",Mealy Mountains terrane - Mealy dykes,Plutonic,"medium- to coarse-grained olivine gabbro dyke, weakly deformed","Reynolds, P.H., 1989. 40Ar/39Ar dating of the Mealy dykes of Labrador: paleomagnetic implications.; Canadian Journal of Earth Sciences, v. 26, p. 1567-157"
Mealy 16,1037,8,8,Ar/Ar,Cooling,"medium-grained gabbro dyke, deformed but with igneous texture preserved",Biotite,Ar Furnace-Step,Estimate,Grenville Province,NL,53.75417,-59.01389,"Southeast shoreline of Lake Melville, Labrador. Location approximated from sketch map in report relative to on-line digital mapping of NGS.",Mealy Mountains terrane - Mealy dykes,Plutonic,"medium-grained gabbro dyke, deformed but with igneous texture preserved","Reynolds, P.H., 1989. 40Ar/39Ar dating of the Mealy dykes of Labrador: paleomagnetic implications.; Canadian Journal of Earth Sciences, v. 26, p. 1567-157"
Mealy 18,1038,7,7,Ar/Ar,Cooling,"medium-grained olivine gabbro - diabase dyke, deformed but with igneous texture preserved",Biotite,Ar Furnace-Step,Estimate,Grenville Province,NL,53.74167,-59.01556,"Southeast shoreline of Lake Melville, Labrador. Location approximated from localized sketch map in report relative to on-line digital mapping of NGS.",Mealy Mountains terrane - Mealy dykes,Plutonic,"medium-grained olivine gabbro - diabase dyke, deformed but with igneous texture preserved","Reynolds, P.H., 1989. 40Ar/39Ar dating of the Mealy dykes of Labrador: paleomagnetic implications.; Canadian Journal of Earth Sciences, v. 26, p. 1567-157"
Mealy 16R,1062,7,7,Ar/Ar,Cooling,"medium-grained gabbro dyke, deformed but with igneous texture preserved",Biotite,Ar Furnace-Step,Estimate,Grenville Province,NL,53.75417,-59.01389,"Southeast shoreline of Lake Melville, Labrador. Location approximated from sketch map in report relative to on-line digital mapping of NGS. .",Mealy Mountains terrane - Mealy dykes,Plutonic,"medium-grained gabbro dyke, deformed but with igneous texture preserved","Reynolds, P.H., 1989. 40Ar/39Ar dating of the Mealy dykes of Labrador: paleomagnetic implications.; Canadian Journal of Earth Sciences, v. 26, p. 1567-157"
Mealy 18R,1065,7,7,Ar/Ar,Cooling,"medium-grained olivine gabbro - diabase dyke, deformed but with igneous texture preserved",Biotite,Ar Furnace-Step,Estimate,Grenville Province,NL,53.74167,-59.01556,"Southeast shoreline of Lake Melville, Labrador. Location approximated from sketch map in report relative to on-line digital mapping of NGS.",Mealy Mountains terrane - Mealy dykes,Plutonic,"medium-grained olivine gabbro - diabase dyke, deformed but with igneous texture preserved","Reynolds, P.H., 1989. 40Ar/39Ar dating of the Mealy dykes of Labrador: paleomagnetic implications.; Canadian Journal of Earth Sciences, v. 26, p. 1567-157"
Mealy 8,1087,7,7,Ar/Ar,Cooling,"medium- to coarse-grained olivine gabbro dyke, weakly deformed",Hornblende,Ar Furnace-Step,Minimum Estimate,Grenville Province,NL,53.70417,-58.57917,"Southeast shoreline of Lake Melville, Labrador. Location approximated from sketch map in report relative to on-line digital mapping of NGS.",Mealy Mountains terrane - Mealy dykes,Plutonic,"medium- to coarse-grained olivine gabbro dyke, weakly deformed","Reynolds, P.H., 1989. 40Ar/39Ar dating of the Mealy dykes of Labrador: paleomagnetic implications.; Canadian Journal of Earth Sciences, v. 26, p. 1567-157"
Mealy 18,1157,10,10,Ar/Ar,Cooling,"medium-grained olivine gabbro - diabase dyke, deformed but with igneous texture preserved",Hornblende,Ar Furnace-Step,Estimate,Grenville Province,NL,53.74167,-59.01556,"Southeast shoreline of Lake Melville, Labrador. Location approximated from localized sketch map in report relative to on-line digital mapping of NGS.",Mealy Mountains terrane - Mealy dykes,Plutonic,"medium-grained olivine gabbro - diabase dyke, deformed but with igneous texture preserved","Reynolds, P.H., 1989. 40Ar/39Ar dating of the Mealy dykes of Labrador: paleomagnetic implications.; Canadian Journal of Earth Sciences, v. 26, p. 1567-157"
Mealy 18R,1214,3,3,Ar/Ar,Cooling,"medium-grained olivine gabbro - diabase dyke, deformed but with igneous texture preserved",Hornblende,Ar Furnace-Step,Direct,Grenville Province,NL,53.74167,-59.01556,"Southeast shoreline of Lake Melville, Labrador. Location approximated from sketch map in report relative to on-line digital mapping of NGS.",Mealy Mountains terrane - Mealy dykes,Plutonic,"medium-grained olivine gabbro - diabase dyke, deformed but with igneous texture preserved","Reynolds, P.H., 1989. 40Ar/39Ar dating of the Mealy dykes of Labrador: paleomagnetic implications.; Canadian Journal of Earth Sciences, v. 26, p. 1567-157"
