Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
MLT 17,813,9,9,Ar/Ar,Cooling,not specified,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,QC,46.26672,-74.85796,Southwestern Quebec. Coordinates interpolated from regional-scale sketch map in report (approximate),Mont-Laurier terrane - unknown,Metamorphic,not specified,"Martignole, J. and Reynolds, P., 1997. 40Ar / 39Ar thermochronology along a western Quebec transect of the Grenville Province, Canada; Journal Of Metamorphic Geology, v. 15, p. 283-29"
MT 33,864,9,9,Ar/Ar,Cooling,unspecified material,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,QC,46.18337,-74.63295,Southwestern Quebec. Coordinates interpolated from regional-scale sketch map in report (approximate),Morin terrane - unknown,Metamorphic,unspecified material,"Martignole, J. and Reynolds, P., 1997. 40Ar / 39Ar thermochronology along a western Quebec transect of the Grenville Province, Canada; Journal Of Metamorphic Geology, v. 15, p. 283-29"
MT 13,894,11,11,Ar/Ar,Cooling,not described,Biotite,Ar Furnace-Step,Direct,Grenville Province,QC,46.18338,-74.68295,Southwestern Quebec. Coordinates interpolated from regional-scale sketch map in report (approximate),Morin terrane - unknown,Metamorphic,not described,"Martignole, J. and Reynolds, P., 1997. 40Ar / 39Ar thermochronology along a western Quebec transect of the Grenville Province, Canada; Journal Of Metamorphic Geology, v. 15, p. 283-29"
MLT 17,906,8,8,Ar/Ar,Cooling,not specified,Biotite,Ar Furnace-Step,Direct,Grenville Province,QC,46.26672,-74.85796,Southwestern Quebec. Coordinates interpolated from regional-scale sketch map in report (approximate),Mont-Laurier terrane - unknown,Metamorphic,not specified,"Martignole, J. and Reynolds, P., 1997. 40Ar / 39Ar thermochronology along a western Quebec transect of the Grenville Province, Canada; Journal Of Metamorphic Geology, v. 15, p. 283-29"
MLT 34,907,5,5,Ar/Ar,Cooling,not specified,Muscovite,Ar Furnace-Step,Direct,Grenville Province,QC,46.23338,-74.93714,Southwestern Quebec. Coordinates interpolated from regional-scale sketch map in report (approximate),Mont-Laurier Terrane - unknown,Metamorphic,not specified,"Martignole, J. and Reynolds, P., 1997. 40Ar / 39Ar thermochronology along a western Quebec transect of the Grenville Province, Canada; Journal Of Metamorphic Geology, v. 15, p. 283-29"
GFZ 1,945,9,9,Ar/Ar,Cooling,not reported,Muscovite,Ar Furnace-Step,Direct,Grenville Province,QC,47.40841,-77.01637,"Approximatly 50 km south-east of the Grenville Front, southwestern Quebec. Coordinates interpolated from regional-scale sketch map in report (approximate)",Grenville Front Zone - unknown,Metamorphic,not reported,"Martignole, J. and Reynolds, P., 1997. 40Ar / 39Ar thermochronology along a western Quebec transect of the Grenville Province, Canada; Journal Of Metamorphic Geology, v. 15, p. 283-29"
RDT 8,955,9,9,Ar/Ar,Cooling,tonalitic to granodioritic migmatites with amphibolite-grade mafic boudins and a few leucocratic granites,Hornblende,Ar Furnace-Step,Direct,Grenville Province,QC,46.86256,-76.44135,Southwestern Quebec. Coordinates interpolated from regional-scale sketch map in report (approximate),Reservoir Dozois terrane - unknown,Metamorphic,tonalitic to granodioritic migmatites with amphibolite-grade mafic boudins and a few leucocratic granites,"Martignole, J. and Reynolds, P., 1997. 40Ar / 39Ar thermochronology along a western Quebec transect of the Grenville Province, Canada; Journal Of Metamorphic Geology, v. 15, p. 283-29"
RDT 3,966,8,8,Ar/Ar,Cooling,tonalitic to granodioritic migmatites with amphibolite-grade mafic boudins and a few leucocratic granites,Hornblende,Ar Furnace-Step,Direct,Grenville Province,QC,46.80839,-76.35246,Southwestern Quebec. Coordinates interpolated from regional-scale sketch map in report (approximate),Reservoir Dozois terrane - unknown,Metamorphic,tonalitic to granodioritic migmatites with amphibolite-grade mafic boudins and a few leucocratic granites,"Martignole, J. and Reynolds, P., 1997. 40Ar / 39Ar thermochronology along a western Quebec transect of the Grenville Province, Canada; Journal Of Metamorphic Geology, v. 15, p. 283-29"
RDT 7,967,8,8,Ar/Ar,Cooling,tonalitic to granodioritic migmatites with amphibolite-grade mafic boudins and a few leucocratic granites,Hornblende,Ar Furnace-Step,Direct,Grenville Province,QC,46.86256,-76.44135,Southwestern Quebec. Coordinates interpolated from regional-scale sketch map in report (approximate),Reservoir Dozois terrane - unknown,Metamorphic,tonalitic to granodioritic migmatites with amphibolite-grade mafic boudins and a few leucocratic granites,"Martignole, J. and Reynolds, P., 1997. 40Ar / 39Ar thermochronology along a western Quebec transect of the Grenville Province, Canada; Journal Of Metamorphic Geology, v. 15, p. 283-29"
RDT 28,973,12,12,Ar/Ar,Cooling,tonalitic to granodioritic migmatites with amphibolite-grade mafic boudins and a few leucocratic granites,Hornblende,Ar Furnace-Step,Direct,Grenville Province,QC,47.19174,-76.74136,Southwestern Quebec. Coordinates interpolated from regional-scale sketch map in report (approximate),Reservoir Dozois terrane - unknown,Metamorphic,tonalitic to granodioritic migmatites with amphibolite-grade mafic boudins and a few leucocratic granites,"Martignole, J. and Reynolds, P., 1997. 40Ar / 39Ar thermochronology along a western Quebec transect of the Grenville Province, Canada; Journal Of Metamorphic Geology, v. 15, p. 283-29"
