Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
HA-369,1168,6,6,U/Pb,Metamorphic,,Garnet,TIMS,,Grenville Province,NY,44.1,-75.3,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,metapelitic gneisses,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
87B,1129,3,3,U/Pb,Metamorphic,,Titanite,TIMS,,Grenville Province,NY,44.2,-75.3,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,calc-silicate and marble,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
87B,1092,4,4,U/Pb,Metamorphic,,Titanite,TIMS,,Grenville Province,NY,44.2,-75.3,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,calc-silicate and marble,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
86S,1137,2,2,U/Pb,Metamorphic,,Titanite,TIMS,,Grenville Province,NY,44.5,-75.3,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,calc-silicate and marble,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
ED-262B,1161,1,1,U/Pb,Metamorphic,,Monazite,TIMS,,Grenville Province,NY,44.1,-75.4,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,metapelitic gneisses,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
ED-30A,953,4,4,U/Pb,Cooling,,Rutile,TIMS,,Grenville Province,NY,44.4,-75.2,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,metapelitic gneisses,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
ED-161B,1008,7,7,U/Pb,Cooling,,Rutile,TIMS,,Grenville Province,NY,44.3,-75.2,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,metapelitic gneisses,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
ED-161B,1005,2,2,U/Pb,Cooling,,Rutile,TIMS,,Grenville Province,NY,44.3,-75.2,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,metapelitic gneisses,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
ED-99,1127,4,4,U/Pb,Metamorphic,,Garnet,TIMS,,Grenville Province,NY,44.5,-75.1,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,metapelitic gneisses,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
LB-81,1153,3,3,U/Pb,Metamorphic,,Garnet,TIMS,,Grenville Province,NY,44.1,-75.4,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,metapelitic gneisses,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
