Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
90-38,1074,2,2,U/Pb,Metamorphic,granite,Titanite,TIMS,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1991). Synorogenic collapse: A perspective from the middle crust, the Proterozoic Grenville Orogen. Science, 254(5032), 695-698."
90-39,1067,2,2,U/Pb,Metamorphic,syenite,Titanite,TIMS,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1991). Synorogenic collapse: A perspective from the middle crust, the Proterozoic Grenville Orogen. Science, 254(5032), 695-698."
89-05,1060,3,3,U/Pb,Metamorphic,syenite,Titanite,TIMS,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1991). Synorogenic collapse: A perspective from the middle crust, the Proterozoic Grenville Orogen. Science, 254(5032), 695-698."
90-46,1061,2,2,U/Pb,Metamorphic,calc-silicate gneiss,Titanite,TIMS,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Elzevir Terrane",Metamorphic,,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1991). Synorogenic collapse: A perspective from the middle crust, the Proterozoic Grenville Orogen. Science, 254(5032), 695-698."
90-88b,1056,3,3,U/Pb,Metamorphic,granite,Titanite,TIMS,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,Central Metasedimentary Belt,Metamorphic,,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1991). Synorogenic collapse: A perspective from the middle crust, the Proterozoic Grenville Orogen. Science, 254(5032), 695-698."
ACP/3,1048,2,2,U/Pb,Metamorphic,pegmatite,Titanite,TIMS,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1991). Synorogenic collapse: A perspective from the middle crust, the Proterozoic Grenville Orogen. Science, 254(5032), 695-698."
5D,1046,1,1,U/Pb,Metamorphic,marble mylonite,Titanite,TIMS,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1991). Synorogenic collapse: A perspective from the middle crust, the Proterozoic Grenville Orogen. Science, 254(5032), 695-698."
BA-28,1045,2,2,U/Pb,Metamorphic,marble mylonite,Titanite,TIMS,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1991). Synorogenic collapse: A perspective from the middle crust, the Proterozoic Grenville Orogen. Science, 254(5032), 695-698."
90-40,1045,2,2,U/Pb,Metamorphic,calc-silicate gneiss,Titanite,TIMS,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary BeltCentral Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1991). Synorogenic collapse: A perspective from the middle crust, the Proterozoic Grenville Orogen. Science, 254(5032), 695-698."
89-06/1,1043,2,2,U/Pb,Metamorphic,skarn,Titanite,TIMS,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1991). Synorogenic collapse: A perspective from the middle crust, the Proterozoic Grenville Orogen. Science, 254(5032), 695-698."
