Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
LVT130,897,2,2,Ar/Ar,Cooling,biotite muscovite quartz plagioclase sillimanite schist,Muscovite,Laser-Step,Direct,Grenville Province,,45.05876,-76.75339,Robertson Lake shear zone,Metasedimentary Belt,Metamorphic,amphibolite and mica schist,"Busch, J.P., and van der Pluijm, B.A., 1996, Late orogenic, plastic to brittle extension along the Robertson Lake shear zone: Implications for the style of deep-crustal extension in the Grenville Orogen, Canada: Precambrian Research, v. 77, p. 41– 57. "
LVT130,905,2,2,Ar/Ar,Cooling,biotite muscovite quartz plagioclase sillimanite schist,Biotite,Laser-Step,Direct,Grenville Province,,45.05876,-76.75339,Robertson Lake shear zone,Metasedimentary Belt,Metamorphic,amphibolite and mica schist,"Busch, J.P., and van der Pluijm, B.A., 1996, Late orogenic, plastic to brittle extension along the Robertson Lake shear zone: Implications for the style of deep-crustal extension in the Grenville Orogen, Canada: Precambrian Research, v. 77, p. 41– 57. "
RVL118,973,4,4,Ar/Ar,Cooling,amphibolite,Biotite,Laser-Step,Direct,Grenville Province,,44.88506,-76.61287,Robertson Lake shear zone,Metasedimentary Belt,Metamorphic,schist,"Busch, J.P., and van der Pluijm, B.A., 1996, Late orogenic, plastic to brittle extension along the Robertson Lake shear zone: Implications for the style of deep-crustal extension in the Grenville Orogen, Canada: Precambrian Research, v. 77, p. 41– 57. "
RVL118,1016,4,4,Ar/Ar,Cooling,amphibolite,Hornblende,Laser-Step,Direct,Grenville Province,,44.88506,-76.61287,Robertson Lake shear zone,Metasedimentary Belt,Metamorphic,schist,"Busch, J.P., and van der Pluijm, B.A., 1996, Late orogenic, plastic to brittle extension along the Robertson Lake shear zone: Implications for the style of deep-crustal extension in the Grenville Orogen, Canada: Precambrian Research, v. 77, p. 41– 57. "
SRD104,893,2,2,Ar/Ar,Cooling,pegmatite mylonite,Muscovite,Laser-Step,Direct,Grenville Province,ON,44.94568,-76.67643,Robertson Lake Shear Zone,Sharbot Lake Domain - Robertson Lake Shear Zone,Plutonic,pegmatite mylonite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
BTN195,911,2,2,Ar/Ar,Cooling,marble,Phlogopite,Laser-Step,Direct,Grenville Province,ON,45.38362,-76.57437,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,marble,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
ARN191,916,4,4,Ar/Ar,Cooling,marble,Phlogopite,Laser-Step,Direct,Grenville Province,ON,45.44215,-76.47204,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,marble,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
ARN199,931,2,2,Ar/Ar,Cooling,marble,Phlogopite,Laser-Step,Direct,Grenville Province,ON,45.44215,-76.47178,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,marble,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
JOL164,944,4,4,Ar/Ar,Cooling,amphibolite,Hornblende,Laser-Step,Direct,Grenville Province,ON,45.17885,-76.64979,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,amphibolite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
CDN58,951,2,2,Ar/Ar,Cooling,amphibolite,Hornblende,Laser-Step,Direct,Grenville Province,ON,44.86163,-76.82169,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,amphibolite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
MTG72,956,2,2,Ar/Ar,Cooling,amphibolite,Hornblende,Laser-Step,Direct,Grenville Province,ON,44.75431,-76.82779,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,amphibolite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
DHL251,988,2,2,Ar/Ar,Cooling,marble,Phlogopite,Laser-Step,Direct,Grenville Province,ON,44.99416,-76.50479,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,marble,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
MTG175,1019,2,2,Ar/Ar,Cooling,marble,Phlogopite,Laser-Step,Direct,Grenville Province,ON,44.71123,-76.81394,Robertson Lake Shear Zone,Sharbot Lake terrane - unknown,Metamorphic,marble,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
RVL20A,1039,4,4,Ar/Ar,Cooling,amphibolite,Biotite,Laser-Step,Direct,Grenville Province,ON,44.90047,-76.68391,Robertson Lake Shear Zone,Sharbot Lake terrane - unknown,Metamorphic,amphibolite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
RVL20A,1210,4,4,Ar/Ar,Cooling,amphibolite,Hornblende,Laser-Step,Direct,Grenville Province,ON,44.90047,-76.68391,Robertson Lake Shear Zone,Sharbot Lake terrane - unknown,Metamorphic,amphibolite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
C-93-9,599,16,16,U/Pb,Reset,granite,"Zircon, Rutile",TIMS,Direct,Grenville Province,ON,44.91704,-77.10352,Sand Lake,Mazinaw terrane - Norway Lake granite,Plutonic,granite,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-2 KF2,915,18,18,Pb/Pb,Metamorphic,"matrix-poor monolithic metavolcanic breccia, mostly likely a lava dome, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts",Rutile,TIMS,Direct,Grenville Province,ON,44.8103,-77.10974,Kashwakamak Lake,Mazinaw terrane - Kashwakamak Formation,Volcanic,"matrix-poor monolithic metavolcanic breccia, mostly likely a lava dome, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-2 KF2,923,12,12,Pb/Pb,Metamorphic,"matrix-poor monolithic metavolcanic breccia, mostly likely a lava dome, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts",Rutile,TIMS,Direct,Grenville Province,ON,44.8103,-77.10974,Kashwakamak Lake,Mazinaw terrane - Kashwakamak Formation,Volcanic,"matrix-poor monolithic metavolcanic breccia, mostly likely a lava dome, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-3 HS,950,13,13,Pb/Pb,Metamorphic,"trondhjemite, cuts marbles in area",Rutile,TIMS,Estimate,Grenville Province,ON,44.8314,-77.1046,Mitchell Bay,Mazinaw terrane - Helena stock,Plutonic,"trondhjemite, cuts marbles in area","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-7,965,13,13,Pb/Pb,Metamorphic,"gneissic body, tonalite to granodiorite",Titanite,TIMS,Direct,Grenville Province,ON,44.90581,-76.87823,Pine Lake,Mazinaw terrane - Cross Lake pluton,Plutonic,"gneissic body, tonalite to granodiorite","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-13,978,3,3,Pb/Pb,Igneous Crystallization,pegmatite dyke,Monazite,TIMS,Estimate,Grenville Province,ON,45.13904,-76.66868,Clyde Forks area,Mazinaw terrane - cuts Flinton Group schists,Plutonic,pegmatite dyke,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-3 HS,981,20,20,Pb/Pb,Metamorphic,"trondhjemite, cuts marbles in area",Rutile,TIMS,Estimate,Grenville Province,ON,44.8314,-77.1046,Mitchell Bay,Mazinaw terrane - Helena stock,Plutonic,"trondhjemite, cuts marbles in area","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-13,984,4,4,Pb/Pb,Igneous Crystallization,pegmatite dyke,Zircon,TIMS,Estimate,Grenville Province,ON,45.13904,-76.66868,Clyde Forks area,Mazinaw terrane - cuts Flinton Group schists,Plutonic,pegmatite dyke,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-1 KF1,984,19,19,Pb/Pb,Metamorphic,"massive dacitic pyroclastic metavolcanic, probably and ash-flow tuff, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts; outcrop contains rare melt segregations.",Titanite,TIMS,Direct,Grenville Province,ON,44.80958,-77.03593,Big Gull Lake,Mazinaw terrane - Kashwakamak Formation,Volcanic,"massive dacitic pyroclastic metavolcanic, probably and ash-flow tuff, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts; outcrop contains rare melt segregations.","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-16,995,2,2,Pb/Pb,Metamorphic,felsic volcanic,Titanite,TIMS,Direct,Grenville Province,ON,45.16903,-76.70082,Flower Round Lake,Mazinaw terrane - unknown,Volcanic,felsic volcanic,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-15,1005,5,5,Pb/Pb,Metamorphic,garnet amphibolite,Zircon,TIMS,Estimate,Grenville Province,ON,45.21807,-76.69412,Mile Lake,Mazinaw terrane - unknown,Metamorphic,garnet amphibolite,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-14,1020,3,3,Pb/Pb,Metamorphic,mica schist,"Zircon, Monazite",TIMS,Direct,Grenville Province,ON,45.13904,-76.66868,Clyde Forks area,"Mazinaw terrane - Bishop Corners Formation, Flinton Group",Metamorphic,mica schist,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-16,1036,9,5,Pb/Pb,Metamorphic,felsic volcanic,Zircon,TIMS,Direct,Grenville Province,ON,45.16903,-76.70082,Flower Round Lake,Mazinaw terrane - unknown,Volcanic,felsic volcanic,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
