Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
C-93-9,599,16,16,U/Pb,Reset,granite,"Zircon, Rutile",TIMS,Direct,Grenville Province,ON,44.91704,-77.10352,Sand Lake,Mazinaw terrane - Norway Lake granite,Plutonic,granite,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-2 KF2,915,18,18,Pb/Pb,Metamorphic,"matrix-poor monolithic metavolcanic breccia, mostly likely a lava dome, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts",Rutile,TIMS,Direct,Grenville Province,ON,44.8103,-77.10974,Kashwakamak Lake,Mazinaw terrane - Kashwakamak Formation,Volcanic,"matrix-poor monolithic metavolcanic breccia, mostly likely a lava dome, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-2 KF2,923,12,12,Pb/Pb,Metamorphic,"matrix-poor monolithic metavolcanic breccia, mostly likely a lava dome, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts",Rutile,TIMS,Direct,Grenville Province,ON,44.8103,-77.10974,Kashwakamak Lake,Mazinaw terrane - Kashwakamak Formation,Volcanic,"matrix-poor monolithic metavolcanic breccia, mostly likely a lava dome, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-3 HS,950,13,13,Pb/Pb,Metamorphic,"trondhjemite, cuts marbles in area",Rutile,TIMS,Estimate,Grenville Province,ON,44.8314,-77.1046,Mitchell Bay,Mazinaw terrane - Helena stock,Plutonic,"trondhjemite, cuts marbles in area","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-7,965,13,13,Pb/Pb,Metamorphic,"gneissic body, tonalite to granodiorite",Titanite,TIMS,Direct,Grenville Province,ON,44.90581,-76.87823,Pine Lake,Mazinaw terrane - Cross Lake pluton,Plutonic,"gneissic body, tonalite to granodiorite","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-13,978,3,3,Pb/Pb,Igneous Crystallization,pegmatite dyke,Monazite,TIMS,Estimate,Grenville Province,ON,45.13904,-76.66868,Clyde Forks area,Mazinaw terrane - cuts Flinton Group schists,Plutonic,pegmatite dyke,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-3 HS,981,20,20,Pb/Pb,Metamorphic,"trondhjemite, cuts marbles in area",Rutile,TIMS,Estimate,Grenville Province,ON,44.8314,-77.1046,Mitchell Bay,Mazinaw terrane - Helena stock,Plutonic,"trondhjemite, cuts marbles in area","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-13,984,4,4,Pb/Pb,Igneous Crystallization,pegmatite dyke,Zircon,TIMS,Estimate,Grenville Province,ON,45.13904,-76.66868,Clyde Forks area,Mazinaw terrane - cuts Flinton Group schists,Plutonic,pegmatite dyke,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-1 KF1,984,19,19,Pb/Pb,Metamorphic,"massive dacitic pyroclastic metavolcanic, probably and ash-flow tuff, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts; outcrop contains rare melt segregations.",Titanite,TIMS,Direct,Grenville Province,ON,44.80958,-77.03593,Big Gull Lake,Mazinaw terrane - Kashwakamak Formation,Volcanic,"massive dacitic pyroclastic metavolcanic, probably and ash-flow tuff, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts; outcrop contains rare melt segregations.","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-16,995,2,2,Pb/Pb,Metamorphic,felsic volcanic,Titanite,TIMS,Direct,Grenville Province,ON,45.16903,-76.70082,Flower Round Lake,Mazinaw terrane - unknown,Volcanic,felsic volcanic,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-15,1005,5,5,Pb/Pb,Metamorphic,garnet amphibolite,Zircon,TIMS,Estimate,Grenville Province,ON,45.21807,-76.69412,Mile Lake,Mazinaw terrane - unknown,Metamorphic,garnet amphibolite,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-14,1020,3,3,Pb/Pb,Metamorphic,mica schist,"Zircon, Monazite",TIMS,Direct,Grenville Province,ON,45.13904,-76.66868,Clyde Forks area,"Mazinaw terrane - Bishop Corners Formation, Flinton Group",Metamorphic,mica schist,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-16,1036,9,5,Pb/Pb,Metamorphic,felsic volcanic,Zircon,TIMS,Direct,Grenville Province,ON,45.16903,-76.70082,Flower Round Lake,Mazinaw terrane - unknown,Volcanic,felsic volcanic,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-15,1036,9,5,Pb/Pb,Metamorphic,garnet amphibolite,Zircon,TIMS,Estimate,Grenville Province,ON,45.21807,-76.69412,Mile Lake,Mazinaw terrane - unknown,Metamorphic,garnet amphibolite,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-12,1052,5,5,Pb/Pb,Detrital,calc-silicate,Titanite,TIMS,Estimate,Grenville Province,ON,45.0993,-76.85296,Mair Lake,Mazinaw terrane - unknown,Sedimentary,calc-silicate,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-10,1063,5,5,Pb/Pb,No Age,sheared pegmatite,Zircon,TIMS,Estimate,Grenville Province,ON,45.06714,-76.85433,Granite Lake,Mazinaw terrane - unknown,Plutonic,sheared pegmatite,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-8,1067,10,10,Pb/Pb,Metamorphic,gneissic granite,Titanite,TIMS,Direct,Grenville Province,ON,45.00295,-77.08834,Buckshot Lake,Mazinaw terrane - Abinger granite,Plutonic,gneissic granite,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-11,1079,2,2,Pb/Pb,Igneous Crystallization,"pegmatite dyke, undeformed, cuts tonalite gneiss and deformed pegmatite",Zircon,TIMS,Direct,Grenville Province,ON,45.06714,-76.85433,Granite Lake,Mazinaw terrane - unknown,Plutonic,"pegmatite dyke, undeformed, cuts tonalite gneiss and deformed pegmatite","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-12,1094,9,9,Pb/Pb,Metamorphic,calc-silicate,Zircon,TIMS,Direct,Grenville Province,ON,45.0993,-76.85296,Mair Lake,Mazinaw terrane - unknown,Sedimentary,calc-silicate,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-7,1130,4.5,4.5,Pb/Pb,Metamorphic,"gneissic body, tonalite to granodiorite",Titanite,TIMS,Estimate,Grenville Province,ON,44.90581,-76.87823,Pine Lake,Mazinaw terrane - Cross Lake pluton,Plutonic,"gneissic body, tonalite to granodiorite","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-12,1213,16,16,Pb/Pb,Detrital,calc-silicate,Zircon,TIMS,Minimum Direct,Grenville Province,ON,45.0993,-76.85296,Mair Lake,Mazinaw terrane - unknown,Sedimentary,calc-silicate,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-12,1237,3.7,3.7,Pb/Pb,Detrital,calc-silicate,Zircon,TIMS,Direct,Grenville Province,ON,45.0993,-76.85296,Mair Lake,Mazinaw terrane - unknown,Sedimentary,calc-silicate,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-8,1240,5,5,Pb/Pb,Igneous Crystallization,gneissic granite,Zircon,TIMS,Estimate,Grenville Province,ON,45.00295,-77.08834,Buckshot Lake,Mazinaw terrane - Abinger granite,Plutonic,gneissic granite,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-4,1240,10,10,Pb/Pb,Igneous Crystallization,foliated well-banded rhyolitic pyroclastic metavolcanic,Zircon,TIMS,Estimate,Grenville Province,ON,44.89028,-77.12566,Shabomeka Lake,Mazinaw terrane - Mazinaw Lake Formation,Volcanic,foliated well-banded rhyolitic pyroclastic metavolcanic,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-9,1242,4,4,Pb/Pb,Igneous Crystallization,granite,"Zircon, Rutile",TIMS,Direct,Grenville Province,ON,44.91704,-77.10352,Sand Lake,Mazinaw terrane - Norway Lake granite,Plutonic,granite,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-5,1246,3,3,Pb/Pb,Igneous Crystallization,foliated well-banded rhyolitic pyroclastic metavolcanic,Zircon,TIMS,Direct,Grenville Province,ON,44.87318,-77.16116,Semicircle Lake,Mazinaw terrane - Mazinaw Lake Formation,Volcanic,foliated well-banded rhyolitic pyroclastic metavolcanic,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-7 (CL Cross Lake),1250,10,5,Pb/Pb,Igneous Crystallization,"gneissic body, tonalite to granodiorite","Zircon, Titanite",TIMS,Estimate,Grenville Province,ON,44.90581,-76.87823,Pine Lake,Mazinaw terrane - Cross Lake pluton,Plutonic,"gneissic body, tonalite to granodiorite","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-3 (HS Helena Stock trondjhemite),1267,5,5,Pb/Pb,Igneous Crystallization,"trondhjemite, cuts marbles in area",Zircon,TIMS,Direct,Grenville Province,ON,44.8314,-77.1046,Mitchell Bay,Mazinaw terrane - Helena stock,Plutonic,"trondhjemite, cuts marbles in area","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-1 (KF1 Kashwakamak Fm),1276,2,2,Pb/Pb,Igneous Crystallization,"massive dacitic pyroclastic metavolcanic, probably and ash-flow tuff, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts; outcrop contains rare melt segregations.",Zircon,TIMS,Direct,Grenville Province,ON,44.80958,-77.03593,Big Gull Lake,Mazinaw terrane - Kashwakamak Formation,Volcanic,"massive dacitic pyroclastic metavolcanic, probably and ash-flow tuff, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts; outcrop contains rare melt segregations.","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-2 (KF2 Kashhwakamak Fm),1276,2,2,Pb/Pb,Igneous Crystallization,"matrix-poor monolithic metavolcanic breccia, mostly likely a lava dome, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts",Zircon,TIMS,Direct,Grenville Province,ON,44.8103,-77.10974,Kashwakamak Lake,Mazinaw terrane - Kashwakamak Formation,Volcanic,"matrix-poor monolithic metavolcanic breccia, mostly likely a lava dome, contains biotite and abundant secondary randomly oriented hornblende porphyroblasts","Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
C-93-14 (FM Flinton Mica Schist),1491,6.3,6.3,Pb/Pb,Detrital,mica schist,Zircon,TIMS,Estimate,Grenville Province,ON,45.13904,-76.66868,Clyde Forks area,"Mazinaw terrane - Bishop Corners Formation, Flinton Group",Metamorphic,mica schist,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
