Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
SP1,911.0,2.0,2.0,U/Pb,Cooling,,Rutile,TIMS,,Grenville Province,NY,43.5,-74.39,Adirondack Highlands,Adirondack Highlands,Metamorphic,metapelites,"Mezger, K., Hanson, G. N., & Bohlen, S. R. (1989). High-precision UPb ages of metamorphic rutile: application to the cooling history of high-grade terranes. *Earth and Planetary Science Letters*, *96*(1-2), 106-118."
P17B,885.0,2.0,2.0,U/Pb,Cooling,,Rutile,TIMS,,Grenville Province,NY,43.29,-74.52,Adirondack Highlands,Adirondack Highlands,Metamorphic,metapelites,"Mezger, K., Hanson, G. N., & Bohlen, S. R. (1989). High-precision UPb ages of metamorphic rutile: application to the cooling history of high-grade terranes. *Earth and Planetary Science Letters*, *96*(1-2), 106-118."
86-8,991.0,1.0,1.0,U/Pb,Metamorphic,,Titanite,TIMS,,Grenville Province,NY,43.7,-73.7,Adirondack Highlands,Adirondack Highlands,Metamorphic,calc-silicate and marble,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
87D,1030.0,4.0,4.0,U/Pb,Metamorphic,,Titanite,TIMS,,Grenville Province,NY,43.8,-73.7,Adirondack Highlands,Adirondack Highlands,Metamorphic,calc-silicate and marble,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
87D,1021.0,4.0,4.0,U/Pb,Metamorphic,,Titanite,TIMS,,Grenville Province,NY,43.8,-73.7,Adirondack Highlands,Adirondack Highlands,Metamorphic,calc-silicate and marble,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
87A,1033.0,4.0,4.0,U/Pb,Metamorphic,,Titanite,TIMS,,Grenville Province,NY,43.7,-74.3,Adirondack Highlands,Adirondack Highlands,Metamorphic,calc-silicate and marble,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
SP-1,911.0,2.0,2.0,U/Pb,Cooling,,Rutile,TIMS,,Grenville Province,NY,43.5,-74.2,Adirondack Highlands,Adirondack Highlands,Metamorphic,metapelitic gneisses,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
P-17B,885.0,2.0,2.0,U/Pb,Cooling,,Rutile,TIMS,,Grenville Province,NY,43.3,-74.5,Adirondack Highlands,Adirondack Highlands,Metamorphic,metapelitic gneisses,"Mezger, K., Rawnsley, C.M., and Bohlen, S.R., 1991, U-Pb garnet, sphene, monazite, and rutile ages - implications for the duration of high-grade metamorphism and cooling histories, Adirondack Mts., New York, Journal of Geology, v.99, p.415- 428."
90-04/1,982.0,2.0,2.0,U/Pb,Metamorphic,,Titanite,TIMS,Direct,Grenville Province,NY,44.23,-75.17,Adirondack Highlands,Adirondack Highlands,Metamorphic,"marble, granitic, calc-silicate gneiss","Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
90-04/2,989.0,2.0,2.0,U/Pb,Metamorphic,,Titanite,TIMS,Direct,Grenville Province,NY,44.23,-75.17,Adirondack Highlands,Adirondack Highlands,Metamorphic,"marble, granitic, calc-silicate gneiss","Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
