Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
MC87-22A,1027,12,12,Ar/Ar,Metamorphic,marble,Phlogopite,Ar Furnace-Step,Minimum Estimate,Grenville Province,ON,45.06673,-77.81642,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - Bancroft undivided",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
MC87-22A,1097,4,4,Ar/Ar,Metamorphic,marble,Phlogopite,Ar Furnace-Step,Maximum Estimate,Grenville Province,ON,45.06673,-77.81642,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - Bancroft undivided",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
MC87-22B,1015,6,6,Ar/Ar,Metamorphic,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.06673,-77.81642,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - Bancroft undivided",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
MC88-8,1015,4,4,Ar/Ar,Metamorphic,amphibolite,Phlogopite,Ar Furnace-Step,Minimum Estimate,Grenville Province,ON,44.88339,-78.39977,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - Bancroft undivided",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
MC88-8,1060,4,4,Ar/Ar,Metamorphic,amphibolite,Phlogopite,Ar Furnace-Step,Maximum Estimate,Grenville Province,ON,44.88339,-78.39977,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - Bancroft undivided",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
BA-0,930,6,6,Ar/Ar,Metamorphic,marble,Phlogopite,Ar Furnace-Step,Minimum Estimate,Grenville Province,ON,45.05006,-77.83308,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
BA-0,1004,6,6,Ar/Ar,Metamorphic,marble,Phlogopite,Ar Furnace-Step,Maximum Estimate,Grenville Province,ON,45.05006,-77.83308,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
BA-11,997,6,6,Ar/Ar,Metamorphic,marble,Phlogopite,Ar Furnace-Step,Direct,Grenville Province,ON,45.05006,-77.83308,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
BA-31A,1047,4,4,Ar/Ar,Metamorphic,marble,Phlogopite,Ar Furnace-Step,Minimum Estimate,Grenville Province,ON,45.03339,-77.83308,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
BA-31A,1173,6,6,Ar/Ar,Metamorphic,marble,Phlogopite,Ar Furnace-Step,Maximum Estimate,Grenville Province,ON,45.03339,-77.83308,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - unknown",Metamorphic,marble,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
