Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
87-DC-1,1684,8,8,U/Pb,Igneous Crystallization,pink fine- to medium-grained homogenous leucogranite,Zircon,TIMS,Direct,Grenville Province,ON,45.88433,-80.76402,"Bigby Island, west of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - Key Harbour granite,Plutonic,pink fine- to medium-grained homogenous leucogranite,"Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-59"
SSA-10A,731,8,8,Ar/Ar,Cooling,pegmatite,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,ON,45.50006,-78.24977,Approx. 50 km WSE of Pembroke. Location approximate.,Central Gneiss Belt - unknown,Plutonic,pegmatite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-11B,758,8,8,Ar/Ar,Cooling,amphibolite,K-Feldspar,Ar Furnace-Fusion,Estimate,Grenville Province,ON,45.58339,-78.38311,Huntsville area. Location approximate.,Central Gneiss Belt - unknown,Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-7C,831,8,8,Ar/Ar,Cooling,gneiss,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,ON,45.61672,-79.4165,NNW of Huntsville. Location approximate.,"Central Gneiss Belt, Kiosk Domain - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-9B,845,8,8,Ar/Ar,Cooling,pegmatite,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,ON,45.33338,-78.96647,Location approximate.,Central Gneiss Belt - unknown,Plutonic,pegmatite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
PS86B-1B,866,6,6,Ar/Ar,Cooling,pegmatite,Muscovite,Ar Furnace-Fusion,Direct,Grenville Province,ON,45.25005,-79.8165,Location approximate.,"Cental Gneiss Belt, Parry Sound Domain - unknown",Plutonic,pegmatite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-3A,872,8,8,Ar/Ar,Cooling,diorite,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,ON,45.65005,-79.89983,Huntsville area. Location approximate.,Central Gneiss Belt - unknown,Plutonic,diorite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-7B,876,8,8,Ar/Ar,Cooling,gneiss,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.61672,-79.4165,NNW of Huntsville. Location approximate.,"Central Gneiss Belt, Kiosk Domain - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
PS86B-14B,895,6,6,Ar/Ar,Cooling,pegmatite,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.37505,-80.0665,Location approximate.,Central Gneiss Belt - unknown,Plutonic,pegmatite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
PS86B-9,900,6,6,Ar/Ar,Cooling,anorthosite,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.47505,-80.00261,Location approximate.,Central Gneiss Belt - unknown,Plutonic,anorthosite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
PSA-1,903,8,8,Ar/Ar,Cooling,gneiss,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.43755,-80.02483,Location approximate.,Central Gneiss Belt - unknown,Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-10B,904,8,8,Ar/Ar,Cooling,amphibolite,Biotite,Ar Furnace-Fusion,Direct,Grenville Province,ON,45.50006,-78.24977,Approx. 50 km WSE of Pembroke. Location approximate.,Central Gneiss Belt - unknown,Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
PSA-2,904,8,8,Ar/Ar,Cooling,gneiss,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,45.44172,-80.02066,"Location very approximate; not specifically located in paper. Coordinates to be verified from thesis.",Central Gneiss Belt - unknown,Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-8A,907,8,8,Ar/Ar,Cooling,gneiss,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,45.35005,-79.13314,NE of Huntsville. Location approximate.,"Central Gneiss Belt, Algonquin Domain - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
PS86B-16C,909,6,6,Ar/Ar,Cooling,schist,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.39172,-80.0665,Location approximate.,Central Gneiss Belt - unknown,Metamorphic,schist,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
MR86-8B,909,6,6,Ar/Ar,Cooling,schist,Muscovite,Ar Furnace-Fusion,Direct,Grenville Province,ON,46.35838,-79.41648,North Bay. Location approximate.,"Central Gneiss Belt, Ottawa-Bonnechere graben - unknown",Metamorphic,schist,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
PSI86-1,915,6,6,Ar/Ar,Cooling,schist,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.30838,-80.12484,Location approximate.,Central Gneiss Belt - unknown,Metamorphic,schist,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-8A,936,8,8,Ar/Ar,Cooling,gneiss,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.35005,-79.13314,NE of Huntsville. Location approximate.,"Central Gneiss Belt, Algonquin Domain - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
MR86-1B,947,4,4,Ar/Ar,Cooling,gneiss,Biotite,Ar Furnace-Fusion,Estimate,Grenville Province,ON,46.25839,-78.99147,E of North Bay. Location approximate.,"Central Gneiss Belt, Ottawa-Bonnechere graben - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
MIN86-4A,954,6,6,Ar/Ar,Cooling,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.01673,-78.84979,Approx. 60 km W of Bancroft. Location approximate.,"Central Gneiss Belt, Muskoka Domain - unknown",Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
MR86-8A,959,4,4,Ar/Ar,Cooling,amphibolite,Biotite,Ar Furnace-Step,Estimate,Grenville Province,ON,46.35838,-79.41648,North Bay. Location approximate.,"Central Gneiss Belt, Ottawa-Bonnechere graben - unknown",Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
MR86-8A,963,8,8,Ar/Ar,Cooling,amphibolite,Hornblende,Ar Furnace-Step,Estimate,Grenville Province,ON,46.35838,-79.41648,North Bay. Location approximate.,"Central Gneiss Belt, Ottawa-Bonnechere graben - unknown",Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-7A,976,8,8,Ar/Ar,Cooling,gneiss,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.61672,-79.4165,NNW of Huntsville. Location approximate.,"Central Gneiss Belt, Kiosk Domain - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-4,989,8,8,Ar/Ar,Cooling,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.90005,-79.79983,NW of Huntsville. Location approximate.,"Central Gneiss Belt, Parry Sound Domain - unknown",Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-14,994,8,8,Ar/Ar,Cooling,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.30005,-78.98313,Huntsville area. Location approximate.,"Central Gneiss Belt, Algonquin Domain - unknown",Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-10B,1001,8,8,Ar/Ar,Cooling,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.50006,-78.24977,Approx. 50 km WSE of Pembroke. Location approximate.,Central Gneiss Belt - unknown,Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-5,1005,8,8,Ar/Ar,Cooling,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.90005,-79.78316,NW of Huntsville. Location approximate.,"Central Gneiss Belt, Parry Sound Domain - unknown",Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
FKL-6,1008,8,8,Ar/Ar,Cooling,gneiss,Hornblende,Ar Furnace-Fusion,Direct,Grenville Province,ON,45.32089,-79.07898,E of Huntsville. Location approximate.,"Central Gneiss Belt, Algonquin Domain - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-13,1011,8,8,Ar/Ar,Cooling,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.53338,-78.68312,Huntsville area. Location approximate.,"Central Gneiss Belt, Algonquin Domain - unknown",Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-14,1030,8,8,Ar/Ar,Cooling,amphibolite,Biotite,Ar Furnace-Step,Estimate,Grenville Province,ON,45.30005,-78.98313,Huntsville area. Location approximate.,"Central Gneiss Belt, Algonquin Domain - unknown",Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
MR86-1A,1031,6,6,Ar/Ar,Cooling,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,46.25839,-78.99147,E of North Bay. Location approximate.,"Central Gneiss Belt, Ottawa-Bonnechere graben - unknown",Metamorphic,amphibolite,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
PSI86-1,1133,4,4,Ar/Ar,Cooling,schist,Biotite,Ar Furnace-Fusion,Uncertain,Grenville Province,ON,45.30838,-80.12484,Location approximate.,Central Gneiss Belt - unknown,Metamorphic,schist,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-97"
SSA-12,875,8,8,Ar/Ar,Cooling,gneiss,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,45.5872,-78.50004,"No topographic reference given in report; located by UTM in appendix","Central Metasedimentary Belt, Algonquin/McClintock terrane boundary - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977 OR/OU Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114, p. 13-2"
RDT-3,924,8,8,Ar/Ar,Cooling,gneiss,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,45.24958,-78.94818,"No topographic reference given in report; located by UTM in appendix","Central Gneiss Belt, Muskoka Domain - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977 OR/OU Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114, p. 13-2"
RDT-3,977,8,8,Ar/Ar,Cooling,gneiss,Hornblende,Ar Furnace-Fusion,Direct,Grenville Province,ON,45.24958,-78.94818,"No topographic reference given in report; located by UTM in appendix","Central Gneiss Belt, Muskoka Domain - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977 OR/OU Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114, p. 13-2"
CHF-2,1012,8,8,Ar/Ar,Cooling,gneiss,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.42091,-79.23598,"No topographic reference given in report; located by UTM in appendix","Central Gneiss Belt, Novar subdomain - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977 OR/OU Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114, p. 13-2"
CHF-2,1039,2,2,U/Pb,Cooling,gneiss,Titanite,TIMS,Direct,Grenville Province,ON,45.42091,-79.23598,"No topographic reference given in report; located by UTM in appendix","Central Gneiss Belt, Novar subdomain - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977 OR/OU Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114, p. 13-2"
SSA-12,1074,2,2,U/Pb,Cooling,gneiss,Monazite,TIMS,Direct,Grenville Province,ON,45.5872,-78.50004,"No topographic reference given in report; located by UTM in appendix","Central Metasedimentary Belt, Algonquin/McClintock terrane boundary - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977 OR/OU Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114, p. 13-2"
RDT-3,1074,2,2,U/Pb,Cooling,gneiss,Titanite,TIMS,Estimate,Grenville Province,ON,45.24958,-78.94818,"No topographic reference given in report; located by UTM in appendix","Central Gneiss Belt, Muskoka Domain - unknown",Metamorphic,gneiss,"Cosca, M.A., Sutter, J.F. and Essene, E.J., 1991. Late metamorphic cooling and erosion history of the Ontario Grenville Province: constraints from 40Ar/39Ar thermochronometry; Tectonics, v. 10, p. 959-977 OR/OU Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114, p. 13-2"
BD 1,908,6,6,Ar/Ar,Cooling,"granitoid - samples not individually described; compositions for all reported in this paper range from quartz monzonite to granite",K-Feldspar,Ar Furnace-Step,Direct,Grenville Province,ON,45.88337,-80.73319,N shore of Georgian Bay approx. 80 km N of Parry Sound. Coordinates approximated from regional-scale sketch map in report (by OGS compilers),Britt Domain - Britt pluton,Plutonic,"granitoid - samples not individually described; compositions for all reported in this paper range from quartz monzonite to granite","Culshaw, N., Reynolds, P.H. and Check, G., 1991. A 40Ar/39Ar study of post-tectonic cooling in the Britt domain of the Grenville Province, Ontario; Earth and Planetary Science Letters, v. 105, p. 405-41"
BD 5,910,3,3,Ar/Ar,Cooling,"granitoid - samples not individually described; compositions for all reported in this paper range from quartz monzonite to granite",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.51672,-80.45402,N shore of Georgian Bay north of Parry Sound. Coordinates approximated from regional-scale sketch map in report (by OGS compilers),Britt Domain - Shawanaga pluton,Plutonic,"granitoid - samples not individually described; compositions for all reported in this paper range from quartz monzonite to granite","Culshaw, N., Reynolds, P.H. and Check, G., 1991. A 40Ar/39Ar study of post-tectonic cooling in the Britt domain of the Grenville Province, Ontario; Earth and Planetary Science Letters, v. 105, p. 405-41"
BD 7,911,3,3,Ar/Ar,Cooling,"granitoid - samples not individually described; compositions for all reported in this paper range from quartz monzonite to granite",Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.29589,-80.30818,N shore of Georgian Bay at Parry Sound. Coordinates approximated from regional-scale sketch map in report (by OGS compilers),Britt Domain - unknown,Plutonic,"granitoid - samples not individually described; compositions for all reported in this paper range from quartz monzonite to granite","Culshaw, N., Reynolds, P.H. and Check, G., 1991. A 40Ar/39Ar study of post-tectonic cooling in the Britt domain of the Grenville Province, Ontario; Earth and Planetary Science Letters, v. 105, p. 405-41"
