Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
GFTZ 12,889,10,10,Ar/Ar,Cooling,metasediment,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.39588,-80.04983,Approx. 3 km N of town of Parry Sound on Hwy 69. Coordinates interpolated from regional-scale sketch map in report (approximate),Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
GFTZ 10,893,8,8,Ar/Ar,Cooling,metasediment,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.45838,-80.31652,Approx. 16 km SSE of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate),Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
GFTZ 13,896,8,8,Ar/Ar,Cooling,metasediment,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.31672,-80.09984,Approx. 7 km SW of town of Parry Sound. Coordinates interpolated from regional-scale sketch map in report (approximate),Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
GFTZ 70,901,6,6,Ar/Ar,Cooling,metasediment,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.56672,-80.46652,"Shore, approx. 5 km WSW of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
GFTZ 11,904,6,6,Ar/Ar,Cooling,metasediment,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.41672,-80.20817,"On road at N shore of Parry Sound, approx. 14 km 14 km NW of town of Parry Sound. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
GFTZ 60,904,6,6,Ar/Ar,Cooling,metasediment,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.67505,-80.45818,"Highway 69, approx. 13 km NW of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
GFTZ 1a,908,9,9,Ar/Ar,Cooling,metasediment,Muscovite,Ar Furnace-Step,Estimate,Grenville Province,ON,45.87504,-80.68319,"N shore of Georgian Bay, approx. 85 km NW of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
GFTZ 40,909,8,8,Ar/Ar,Cooling,metasediment,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.77504,-80.66653,"N shore of Georgian Bay, approx. 70 km NW of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
GFTZ 50,909,6,6,Ar/Ar,Cooling,metasediment,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.66672,-80.60403,"N shore of Georgian Bay, approx. 25 km WNW of Pointe au Baril. Coordinates interpolated from regional-scale sketch map in report (approximate)",Britt Domain - unknown,Metamorphic,metasediment,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
E-GFTZ 102,922,8,8,Ar/Ar,Cooling,amphibolite,K-Feldspar,Ar Furnace-Step,Direct,Grenville Province,ON,45.93337,-80.99709,Approx. 1 km N of N shore of Georgian Bay. Coordinates interpolated from regional-scale sketch map in report (approximate),Grenville Front tectonic zone (Eastern) - unknown,Metamorphic,amphibolite,"Reynolds, P.H., Culshaw, N.G., Jamieson, R.A., Grant, S.L. and McKenzie, K., 1995. 40Ar/39Ar traverse - Grenville Front tectonic zone to Britt domain, Grenville Province, Ontario, Canada; Journal Of Metamorphic Geology, v. 13, p. 209-22"
