Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
A112,1051.97,1.39,1.39,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Total Gas Age,Grenville Province,NY,44.29,-75.4,"Near Gouverneur, Hwy 58/812, N Jct. of Poplar Hill Rd.",Adirondack Lowlands,Metamorphic,,"Streepey, M.M., Lithgow-Bertelloni, C., van der Pluijm, B.A., Essene, E.J., and Magloughlin, J.F., 2004, Exhumation of a collisional orogen: A perspective from the North American Grenville Province, in Tollo, R.P., Corriveau, L., McLelland, J., and Bartholomew, M.J., eds., Proterozoic tectonic evolution of the Grenville orogen in North America: Boulder, Colorado, Geological Society of America Memoir 197, p. 391–410."
A114,992.4,1.78,1.78,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Total Gas Age,Grenville Province,NY,44.41,-75.2,"Along Grass River, Hwy 17, W side of road, 1.5 km NW of Russell.",Adirondack Lowlands,Metamorphic,,"Streepey, M.M., Lithgow-Bertelloni, C., van der Pluijm, B.A., Essene, E.J., and Magloughlin, J.F., 2004, Exhumation of a collisional orogen: A perspective from the North American Grenville Province, in Tollo, R.P., Corriveau, L., McLelland, J., and Bartholomew, M.J., eds., Proterozoic tectonic evolution of the Grenville orogen in North America: Boulder, Colorado, Geological Society of America Memoir 197, p. 391–410."
A117,987.87,1.62,1.62,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Total Gas Age,Grenville Province,NY,44.49,-75.05,0.5 mi. E of Rt. 27 and Brouser’s Corner.,Adirondack Highlands,Metamorphic,,"Streepey, M.M., Lithgow-Bertelloni, C., van der Pluijm, B.A., Essene, E.J., and Magloughlin, J.F., 2004, Exhumation of a collisional orogen: A perspective from the North American Grenville Province, in Tollo, R.P., Corriveau, L., McLelland, J., and Bartholomew, M.J., eds., Proterozoic tectonic evolution of the Grenville orogen in North America: Boulder, Colorado, Geological Society of America Memoir 197, p. 391–410."
A124,1063.43,1.34,1.34,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Total Gas Age,Grenville Province,NY,44.3,-75.37,"Emoryville Rd., ca. 0.5 mi. NW of power plant, ca 0.25 mi. W of turnoff",Adirondack Lowlands,Metamorphic,,"Streepey, M.M., Lithgow-Bertelloni, C., van der Pluijm, B.A., Essene, E.J., and Magloughlin, J.F., 2004, Exhumation of a collisional orogen: A perspective from the North American Grenville Province, in Tollo, R.P., Corriveau, L., McLelland, J., and Bartholomew, M.J., eds., Proterozoic tectonic evolution of the Grenville orogen in North America: Boulder, Colorado, Geological Society of America Memoir 197, p. 391–410."
A125,1065.08,1.93,1.93,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Total Gas Age,Grenville Province,NY,44.31,-75.4,"Emoryville Rd., E of Hailsboro, small outcrop north of road, NW of house, 1.8 mi. E of bridge, 2.1 mi. from Island Branch Rd. Trout Lake Rd., N of Edwards, along W side of Trout Lake, S side, W of 2 islands, W side of road. Cut about 40 m long.",Adirondack Lowlands,Metamorphic,,"Streepey, M.M., Lithgow-Bertelloni, C., van der Pluijm, B.A., Essene, E.J., and Magloughlin, J.F., 2004, Exhumation of a collisional orogen: A perspective from the North American Grenville Province, in Tollo, R.P., Corriveau, L., McLelland, J., and Bartholomew, M.J., eds., Proterozoic tectonic evolution of the Grenville orogen in North America: Boulder, Colorado, Geological Society of America Memoir 197, p. 391–410."
A128,1022.11,1.29,1.29,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Total Gas Age,Grenville Province,NY,44.36,-75.29,"Trout Lake Rd., N of Edwards, along W side of Trout Lake, S side, W of 2 islands, W side of road. Cut about 40 m long.",Adirondack Lowlands,Metamorphic,,"Streepey, M.M., Lithgow-Bertelloni, C., van der Pluijm, B.A., Essene, E.J., and Magloughlin, J.F., 2004, Exhumation of a collisional orogen: A perspective from the North American Grenville Province, in Tollo, R.P., Corriveau, L., McLelland, J., and Bartholomew, M.J., eds., Proterozoic tectonic evolution of the Grenville orogen in North America: Boulder, Colorado, Geological Society of America Memoir 197, p. 391–410."
A129,1075.01,2.1,2.1,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Total Gas Age,Grenville Province,NY,44.34,-75.28,"S. of Trout Lake, Rt. 19 to Edwards, ca. due W of westernmost extreme of Cedar Lake.",Adirondack Lowlands,Metamorphic,,"Streepey, M.M., Lithgow-Bertelloni, C., van der Pluijm, B.A., Essene, E.J., and Magloughlin, J.F., 2004, Exhumation of a collisional orogen: A perspective from the North American Grenville Province, in Tollo, R.P., Corriveau, L., McLelland, J., and Bartholomew, M.J., eds., Proterozoic tectonic evolution of the Grenville orogen in North America: Boulder, Colorado, Geological Society of America Memoir 197, p. 391–410."
A133,973,1.63,1.63,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Total Gas Age,Grenville Province,NY,44.58,-74.82,"Crest of White’s Hill, White Hill Rd., SE of Parishville about 3 mi. at abandoned lookout. 150′ on small trail to the W.",Adirondack Highlands,Metamorphic,,"Streepey, M.M., Lithgow-Bertelloni, C., van der Pluijm, B.A., Essene, E.J., and Magloughlin, J.F., 2004, Exhumation of a collisional orogen: A perspective from the North American Grenville Province, in Tollo, R.P., Corriveau, L., McLelland, J., and Bartholomew, M.J., eds., Proterozoic tectonic evolution of the Grenville orogen in North America: Boulder, Colorado, Geological Society of America Memoir 197, p. 391–410."
A134,974.68,1.34,1.34,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Total Gas Age,Grenville Province,NY,44.57,-74.82,"Very low outcrops along both sides of the highway. S side of White Hill, about 1 mi. S of lookout. Outcrop on White Hill Rd., within amphibolite.",Adirondack Highlands,Metamorphic,,"Streepey, M.M., Lithgow-Bertelloni, C., van der Pluijm, B.A., Essene, E.J., and Magloughlin, J.F., 2004, Exhumation of a collisional orogen: A perspective from the North American Grenville Province, in Tollo, R.P., Corriveau, L., McLelland, J., and Bartholomew, M.J., eds., Proterozoic tectonic evolution of the Grenville orogen in North America: Boulder, Colorado, Geological Society of America Memoir 197, p. 391–410."
A135,1167.36,1.24,1.24,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Total Gas Age,Grenville Province,NY,44.54,-74.76,"Just N of Sterling Rd., near power line, about 150 from junction with Joe Indian Rd.",Adirondack Highlands,Metamorphic,,"Streepey, M.M., Lithgow-Bertelloni, C., van der Pluijm, B.A., Essene, E.J., and Magloughlin, J.F., 2004, Exhumation of a collisional orogen: A perspective from the North American Grenville Province, in Tollo, R.P., Corriveau, L., McLelland, J., and Bartholomew, M.J., eds., Proterozoic tectonic evolution of the Grenville orogen in North America: Boulder, Colorado, Geological Society of America Memoir 197, p. 391–410."
