Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
M100723-1,999,40,40,U/Pb,Pb Loss,A-type granitic gneiss,Zircon,SHRIMP,Direct,Grenville Province,ON,44.99729,-79.07597,"Muskoka domainHwy 118, S of Wood Lake",Muskoka domain - Granitic gneiss,Metamorphic,A-type granitic gneiss,"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2M0606-25,1035,7,7,U/Pb,Igneous Crystallization,Pegmatitic syenite,Zircon,SHRIMP,Direct,Grenville Province,ON,45.03005,-78.99173,Intersection of Hwy 118 and Black River.,Muskoka domain - Muskoka syenite,Metamorphic,Pegmatitic syenite,"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2S2006-3,1047,10,10,U/Pb,Igneous Crystallization,hornblende-rich leucosome in metatexite,Zircon,SHRIMP,Estimate,Grenville Province,ON,45.35164,-80.26109,Pleasant Island,Shawanaga domain - unknown,Plutonic,hornblende-rich leucosome in metatexite,"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2M1406-2,1049,6,6,U/Pb,Igneous Crystallization,Undeformed (post-kinematic) granite dyke,Zircon,SHRIMP,Direct,Grenville Province,ON,45.01071,-79.2976,"Hwy 11, S of Bracebridge.",Muskoka domain - unnamed,Plutonic,Undeformed (post-kinematic) granite dyke,"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2M02061-5,1050,14,14,U/Pb,Metamorphic,Discordant leucosome in SE-directed extensional structure (boudin neck),Zircon,SHRIMP,Estimate,Grenville Province,ON,45.15495,-78.85567,"Hwy 11, N of Bracebridge.",Muskoka domain - Muskoka,Metamorphic,Discordant leucosome in SE-directed extensional structure (boudin neck),"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2M02061-9,1067,9,9,U/Pb,Igneous Crystallization,Concordant granitic leucosome,Zircon,SHRIMP,Direct,Grenville Province,ON,45.15495,-78.85567,"Hwy 11, N of Bracebridge",Muskoka domain - Muskoka,Metamorphic,Concordant granitic leucosome,"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2S0507,1069,10,10,U/Pb,Metamorphic,Weakly deformed granite body,Zircon,SHRIMP,Estimate,Grenville Province,ON,45.3195,-80.27401,Shawanaga domainN of Killbear Marina,Shawanaga domain - granite-pegmatite complex,Plutonic,Weakly deformed granite body,"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2S0207-2,1074,7,7,U/Pb,Metamorphic,Pegmatitic diatexite,Zircon,SHRIMP,Direct,Grenville Province,ON,45.36204,-80.24027,Reid Island,Shawanaga domain - unknown,Plutonic,Pegmatitic diatexite,"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2S0207-2,1089,4,4,U/Pb,Igneous Crystallization,Pegmatitic diatexite,Zircon,SHRIMP,Estimate,Grenville Province,ON,45.36204,-80.24027,Reid Island,Shawanaga domain - unknown,Plutonic,Pegmatitic diatexite,"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2S0507,1091,6,6,U/Pb,Igneous Crystallization,Weakly deformed granite body,Zircon,SHRIMP,Direct,Grenville Province,ON,45.3195,-80.27401,Shawanaga domainN of Killbear Marina,Shawanaga domain - granite-pegmatite complex,Plutonic,Weakly deformed granite body,"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2S0507,1347,36,36,U/Pb,Inheritance,Weakly deformed granite body,Zircon,SHRIMP,Minimum Estimate,Grenville Province,ON,45.3195,-80.27401,Shawanaga domainN of Killbear Marina,Shawanaga domain - granite-pegmatite complex,Plutonic,Weakly deformed granite body,"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2S2006-3,1448,10,10,U/Pb,Protolith age,hornblende-rich leucosome in metatexite,Zircon,SHRIMP,Direct,Grenville Province,ON,45.35164,-80.26109,Pleasant Island,Shawanaga domain - unknown,Plutonic,hornblende-rich leucosome in metatexite,"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
2M02061-5,1451,13,13,U/Pb,Protolith age,Discordant leucosome in SE-directed extensional structure (boudin neck),Zircon,SHRIMP,Direct,Grenville Province,ON,45.15495,-78.85567,"Hwy 11, N of Bracebridge.",Muskoka domain - Muskoka,Metamorphic,Discordant leucosome in SE-directed extensional structure (boudin neck),"Slagstad, T., Hamilton, M.A., Jamieson, R.A. and Culshaw, N.G., 2004. Timing and duration of melting in the mid orogenic crust: constraints from U-Pb (SHRIMP) data, Muskoka and Shawanaga domains, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 41, p. 1339-136"
