Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
Lab-12,941,39,36,U/Pb,Pb Loss,granite,Zircon,TIMS,Estimate,Grenville Province,NL,54.00258,-59.93241,23.7 km north of Sebaskachu Bay. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers),Groswater Bay terrane - Double Mer granite,Plutonic,granite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
Lab-12,1632,10,9,U/Pb,Igneous Crystallization,granite,Zircon,TIMS,Direct,Grenville Province,NL,54.00258,-59.93241,23.7 km north of Sebaskachu Bay. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers),Groswater Bay terrane - Double Mer granite,Plutonic,granite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
"CG(84)-468d, e",926,5,5,U/Pb,Cooling,gabbro,Rutile,TIMS,Estimate,Grenville Province,NL,54.18812,-57.43431,"2 km southeast of Cuff Island, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Michael Gabbro,Plutonic,gabbro,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(84)-172E,1426,6,6,U/Pb,Igneous Crystallization,metagabbro,Zircon,TIMS,Direct,Grenville Province,NL,53.89268,-56.94134,"Double Island, 15 km north - northeast of Cartwright, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Michael Gabbro,Plutonic,metagabbro,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG84-468B,968,7,8,U/Pb,Igneous Crystallization,well-banded granodiorite gneiss,"Zircon, Titanite",TIMS,Estimate,Grenville Province,NL,54.18812,-57.43431,"2 km southeast of Cuff Island, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Tonalitic-granodioritic gneiss,Plutonic,well-banded granodiorite gneiss,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(84)-172C,970,0,0,U/Pb,Metamorphic,garnetiferous biotite pegmatite,Titanite,TIMS,Estimate,Grenville Province,NL,53.89978,-56.93957,"Double Island, 15 km north - northeast of Cartwright, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Tonalitic-granodioritic gneiss,Plutonic,garnetiferous biotite pegmatite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG84-468A,972,4,4,U/Pb,Metamorphic,nebulitic granodiorite,Titanite,TIMS,Direct,Grenville Province,NL,54.18812,-57.43431,"Cuff Island, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Tonalitic-granodioritic gneiss,Plutonic,nebulitic granodiorite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(84)-172B,978,4,4,U/Pb,Metamorphic,granodioritic to tonalitic gneiss,Titanite,TIMS,Direct,Grenville Province,NL,53.89978,-56.93957,"Double Island, 15 km north-northwest of Cartwright, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Tonalitic-granodioritic gneiss,Plutonic,granodioritic to tonalitic gneiss,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG(84)-172C,1499,8,7,U/Pb,Igneous Crystallization,garnetiferous biotite pegmatite,Zircon,TIMS,Direct,Grenville Province,NL,53.89978,-56.93957,"Double Island, 15 km north - northeast of Cartwright, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Tonalitic-granodioritic gneiss,Plutonic,garnetiferous biotite pegmatite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
CG84-468B,1587,60,55,U/Pb,Inheritance,well-banded granodiorite gneiss,"Zircon, Titanite",TIMS,Estimate,Grenville Province,NL,54.18812,-57.43431,"2 km southeast of Cuff Island, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - tonalitic-granodioritic gneiss,Plutonic,well-banded granodiorite gneiss,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-45"
