Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
GF-18,935,0,0,Ar/Ar,Cooling,granitoid orthogneiss,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,ON,45.99587,-81.27071,"N shore of Collins Inlet, approx. 2.5 km E of Mill Lake, Georgian Bay. Coordinates approximated from undatumed sketch map in report.",Grenville Front Tectonic Zone - unknown,Metamorphic,granitoid orthogneiss,"Haggart, M.J., Jamieson, R.A., Reynolds, P.H., Krogh, T.E., Beaumont, C. and Culshaw, N.G., 1993. Last gasp of the Grenville Orogeny: Thermonchronology of the Grenville Front Tectonic Zone near Killarney, Ontario; Journal of Geology, v. 101, p. 575-58"
ND-88,937,5,5,Ar/Ar,Cooling,from quartzite-pelite-amphibolite assemblage,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,46.00421,-81.21655,"N shore of Mill Lake, at Philips Edwards Island in Georgian Bay. NCoordinates approximated from undatumed sketch map in report.",Grenville Front Tectonic Zone - from quartzite-pelite-amphibolite assemblage,Metamorphic,from quartzite-pelite-amphibolite assemblage,"Haggart, M.J., Jamieson, R.A., Reynolds, P.H., Krogh, T.E., Beaumont, C. and Culshaw, N.G., 1993. Last gasp of the Grenville Orogeny: Thermonchronology of the Grenville Front Tectonic Zone near Killarney, Ontario; Journal of Geology, v. 101, p. 575-58"
CI-20,942,0,0,Ar/Ar,Cooling,granitoid orthogneiss,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,ON,45.99726,-81.18738,"On N shore of Philips Edward Island, just E of Mill Lake, Georgian Bay. Coordinates approximated from undatumed sketch map in report.",Grenville Front Tectonic Zone - unknown,Metamorphic,granitoid orthogneiss,"Haggart, M.J., Jamieson, R.A., Reynolds, P.H., Krogh, T.E., Beaumont, C. and Culshaw, N.G., 1993. Last gasp of the Grenville Orogeny: Thermonchronology of the Grenville Front Tectonic Zone near Killarney, Ontario; Journal of Geology, v. 101, p. 575-58"
GF-8,960,7,7,Ar/Ar,Cooling,from quartzite-pelite-amphibolite assemblage,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,45.98337,-81.22905,"E shore of Mill Lake, on Philip Edward Island, Georgian Bay. Coordinates approximated from undatumed sketch map in report.",Grenville Front Tectonic Zone - unknown,Metamorphic,from quartzite-pelite-amphibolite assemblage,"Haggart, M.J., Jamieson, R.A., Reynolds, P.H., Krogh, T.E., Beaumont, C. and Culshaw, N.G., 1993. Last gasp of the Grenville Orogeny: Thermonchronology of the Grenville Front Tectonic Zone near Killarney, Ontario; Journal of Geology, v. 101, p. 575-58"
TK83-40Z,978,13,13,U/Pb,Metamorphic,granitoid orthogneiss,"Zircon, Titanite",TIMS,Direct,Grenville Province,ON,46.00421,-81.16237,"Composite age, from various samples of orthogneiss along the S shore of Collins Inlet (Philip Edward Island). Coordinates approximated from undatumed sketch map in report.",Grenville Front Tectonic Zone - unknown,Metamorphic,granitoid orthogneiss,"Haggart, M.J., Jamieson, R.A., Reynolds, P.H., Krogh, T.E., Beaumont, C. and Culshaw, N.G., 1993. Last gasp of the Grenville Orogeny: Thermonchronology of the Grenville Front Tectonic Zone near Killarney, Ontario; Journal of Geology, v. 101, p. 575-58"
GF-35,980,0,0,Ar/Ar,Cooling,granitoid gneiss,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,ON,46.00282,-81.16237,"NE shore of Phillips Edward Island, Georgian Bay. Coordinates approximated from undatumed sketch map in report.",Grenville Front Tectonic Zone - unknown,Metamorphic,granitoid gneiss,"Haggart, M.J., Jamieson, R.A., Reynolds, P.H., Krogh, T.E., Beaumont, C. and Culshaw, N.G., 1993. Last gasp of the Grenville Orogeny: Thermonchronology of the Grenville Front Tectonic Zone near Killarney, Ontario; Journal of Geology, v. 101, p. 575-58"
GF-35,986,9,9,Ar/Ar,Cooling,granitoid gneiss,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,46.00282,-81.16237,"NE shore of Phillips Edward Island, Georgian Bay. Coordinates approximated from undatumed sketch map in report.",Grenville Front Tectonic Zone - unknown,Metamorphic,granitoid gneiss,"Haggart, M.J., Jamieson, R.A., Reynolds, P.H., Krogh, T.E., Beaumont, C. and Culshaw, N.G., 1993. Last gasp of the Grenville Orogeny: Thermonchronology of the Grenville Front Tectonic Zone near Killarney, Ontario; Journal of Geology, v. 101, p. 575-58"
GF-34,1001,5,5,Ar/Ar,Cooling,granitoid orthogneiss,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,46.00282,-81.16237,"N shore of inlet between Mill Lake and Beaverstone Bay, at Philips Edward Island, Georgian Bay. Coordinates approximated from undatumed sketch map in report.",Grenville Front Tectonic Zone - unknown,Metamorphic,granitoid orthogneiss,"Haggart, M.J., Jamieson, R.A., Reynolds, P.H., Krogh, T.E., Beaumont, C. and Culshaw, N.G., 1993. Last gasp of the Grenville Orogeny: Thermonchronology of the Grenville Front Tectonic Zone near Killarney, Ontario; Journal of Geology, v. 101, p. 575-58"
CI-19,1003,5,5,Ar/Ar,Cooling,Gneiss,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,46.00282,-81.19571,"N shore of inlet between Mill Lake and Beaverstone Bay, at Philips Edward Island, Georgian Bay. Coordinates approximated from undatumed sketch map in report.",Grenville Front Tectonic Zone - unknown,Metamorphic,Gneiss,"Haggart, M.J., Jamieson, R.A., Reynolds, P.H., Krogh, T.E., Beaumont, C. and Culshaw, N.G., 1993. Last gasp of the Grenville Orogeny: Thermonchronology of the Grenville Front Tectonic Zone near Killarney, Ontario; Journal of Geology, v. 101, p. 575-58"
CI-14,1007,0,0,Ar/Ar,Cooling,granitoid gneiss,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,ON,46.00421,-81.16237,"N shore of Beaverstone Bay, just N of NE tip of Philips Edward Island. Coordinates approximated from undatumed sketch map in report.",Grenville Front Tectonic Zone - unknown,Metamorphic,granitoid gneiss,"Haggart, M.J., Jamieson, R.A., Reynolds, P.H., Krogh, T.E., Beaumont, C. and Culshaw, N.G., 1993. Last gasp of the Grenville Orogeny: Thermonchronology of the Grenville Front Tectonic Zone near Killarney, Ontario; Journal of Geology, v. 101, p. 575-58"
